name,num_years,year,industry,sector,country,headquarters_state,headquarters_city,market_value_mil,market_value_currency,revenue_mil,revenue_currency,profit_mil,profit_currency,asset_mil,asset_currency,employees,employees_metric
NiSource Inc.,15,2012,Utilities: Gas and Electric,,USA,IN,Merrillville,,USD,6019.1,USD,,USD,,USD,,employees
Nike,9,2023,Apparel,Apparel,USA,OR,Beaverton,190161.0,USD,46710.0,USD,6046.0,USD,40321.0,USD,79100.0,employees
Nike,9,2022,Apparel,Apparel,USA,OR,Beaverton,212779.0,USD,44538.0,USD,5727.0,USD,37740.0,USD,73300.0,employees
Nike,9,2021,Apparel,Apparel,USA,OR,Beaverton,209500.0,USD,37403.0,USD,2539.0,USD,31342.0,USD,75400.0,employees
"Nike, Inc.",19,2014,Apparel,,USA,OR,,65401.0,USD,25836.0,USD,2485.0,USD,17584.0,USD,,employees
"Nike, Inc.",19,2013,Apparel,,USA,OR,,5273.22,USD,241.28,USD,2223.0,USD,154.65,USD,,employees
"Nike, Inc.",19,2012,Apparel,,USA,OR,Beaverton,,USD,20862.0,USD,,USD,,USD,,employees
"Nordstrom, Inc.",16,2014,General Merchandisers,,USA,WA,,11846.0,USD,12540.0,USD,734.0,USD,8574.0,USD,,employees
"Nordstrom, Inc.",16,2013,General Merchandisers,,USA,WA,,1081.91,USD,121.48,USD,735.0,USD,80.89,USD,,employees
"Nordstrom, Inc.",16,2012,General Merchandisers,,USA,WA,Seattle,,USD,10877.0,USD,,USD,,USD,,employees
Norfolk Southern Corporation,19,2014,Railroads,,USA,VA,,30095.0,USD,11245.0,USD,1910.0,USD,32483.0,USD,,employees
Norfolk Southern Corporation,19,2013,Railroads,,USA,VA,,2424.29,USD,110.4,USD,1749.0,USD,303.42,USD,,employees
Norfolk Southern Corporation,19,2012,Railroads,,USA,VA,Norfolk,,USD,11172.0,USD,,USD,,USD,,employees
Northeast Utilities,14,2014,Utilities: Gas and Electric,,USA,MA,,14352.0,USD,7301.0,USD,786.0,USD,27796.0,USD,,employees
Northeast Utilities,14,2013,Utilities: Gas and Electric,,USA,MA,,1366.11,USD,627.38,USD,525.9,USD,2830.28,USD,,employees
Northeast Utilities,14,2011,Utilities: Gas and Electric,,USA,CT,Berlin,,USD,4898.2,USD,,USD,,USD,,employees
Northrop Grumman,9,2023,Aerospace & Defense,Aerospace & Defense,USA,VA,Falls Church,70203.0,USD,36602.0,USD,4896.0,USD,43755.0,USD,95000.0,employees
Northrop Grumman,9,2022,Aerospace & Defense,Aerospace & Defense,USA,VA,Falls Church,69812.0,USD,35667.0,USD,7005.0,USD,42579.0,USD,88000.0,employees
Northrop Grumman,9,2021,Aerospace & Defense,Aerospace & Defense,USA,VA,Falls Church,53957.0,USD,36799.0,USD,3189.0,USD,44469.0,USD,97000.0,employees
Northrop Grumman Corporation,19,2014,Aerospace & Defense,,USA,VA,,26741.0,USD,24661.0,USD,1952.0,USD,26381.0,USD,,employees
Northrop Grumman Corporation,19,2013,Aerospace & Defense,,USA,VA,,1663.44,USD,252.18,USD,1978.0,USD,265.43,USD,,employees
Northrop Grumman Corporation,19,2012,Aerospace & Defense,,USA,VA,Falls Church,,USD,28058.0,USD,,USD,,USD,,employees
Northwest Airlines Corporation,9,2008,Airlines,,USA,MN,Eagan,,USD,12528.0,USD,,USD,,USD,,employees
Northwest Airlines Corporation,9,2007,Airlines,,USA,MN,Eagan,,USD,12568.0,USD,,USD,,USD,,employees
Northwest Airlines Corporation,9,2006,Airlines,,USA,MN,,,USD,12286.0,USD,,USD,,USD,,employees
Northwestern Mutual,9,2023,"Insurance: Life, Health (Mutual)",Financials,USA,WI,Milwaukee,,USD,36921.0,USD,912.0,USD,340390.0,USD,8323.0,employees
Northwestern Mutual,9,2022,"Insurance: Life, Health (Mutual)",Financials,USA,WI,Milwaukee,,USD,36751.0,USD,978.0,USD,334654.0,USD,7585.0,employees
Northwestern Mutual,9,2021,"Insurance: Life, Health (Mutual)",Financials,USA,WI,Milwaukee,,USD,33782.0,USD,425.0,USD,308767.0,USD,6641.0,employees
Northwestern Mutual Life Insurance Company,16,2011,"Insurance: Life, Health (Mutual)",,USA,WI,Milwaukee,,USD,23384.3,USD,,USD,,USD,,employees
